name,group,Copper_ Cu_mg, Zinc_ Zn_mg, Iron_ Fe_mg, Fiber_ total dietary_g, Energy_kcal, Phosphorus_ P_mg, Calcium_ Ca_mg, Carbohydrate_ by difference_g, Magnesium_ Mg_mg, Manganese_ Mn_mg, Potassium_ K_mg, Protein_g, Sodium_ Na_mg, Vitamin A_ IU_mg, Thiamin_mg, Vitamin B-12_mg, Riboflavin_mg, Niacin_mg, Pantothenic acid_mg, Vitamin B-6_mg, Vitamin B-7_mcg, Vitamin B-9 Folic acid_mcg, Vitamin C_ total ascorbic acid_mg, Vitamin D_mcg, Vitamin E (alpha-tocopherol)_mg, Vitamin K_mcg, Choline_mg,id
KREMALI SUTLU PATATES,ITU,0.18000000715255737, 4.28000020980835, 2.559999942779541, 1.0099999904632568, 84.5999984741211, 208.99000549316406, 38.310001373291016, 12.260000228881836, 27.40999984741211, 0.1599999964237213, 353.260009765625, 1.850000023841858, 522.1599731445312, 11.9399995803833, 0.12999999523162842, 1.649999976158142, 0.25, 4.380000114440918, 0.7300000190734863, 0.30000001192092896, 1.7899999618530273, 20.360000610351562, 2.069999933242798, 0.10999999940395355, 4.230000019073486, 0.0, 0.0,183
KURU KOFTE,ITU,0.4000000059604645, 4.480000019073486, 2.8299999237060547, 1.7699999809265137, 355.9700012207031, 312.25, 51.720001220703125, 10.789999961853027, 48.29999923706055, 0.1599999964237213, 772.1599731445312, 20.459999084472656, 493.75, 5.039999961853027, 1.2599999904632568, 2.7699999809265137, 0.6299999952316284, 8.25, 3.809999942779541, 0.6800000071525574, 3.069999933242798, 30.59000015258789, 13.609999656677246, 0.019999999552965164, 5.510000228881836, 0.0, 0.0,184
KUZU HASžLAMA,ITU,0.23999999463558197, 3.2200000286102295, 2.0799999237060547, 0.33000001311302185, 940.77001953125, 205.92999267578125, 20.079999923706055, 16.81999969482422, 29.3700008392334, 0.07000000029802322, 393.55999755859375, 31.829999923706055, 457.6400146484375, 1.2999999523162842, 1.0800000429153442, 1.5, 0.25, 6.090000152587891, 0.6399999856948853, 0.25, 1.7100000381469727, 8.180000305175781, 5.099999904632568, 0.009999999776482582, 3.380000114440918, 0.0, 0.0,185
KUZU KIZARTMA,ITU,0.10999999940395355, 0.47999998927116394, 0.7200000286102295, 2.4000000953674316, 650.7899780273438, 50.400001525878906, 8.800000190734863, 3.390000104904175, 24.799999237060547, 0.1599999964237213, 528.0, 22.649999618530273, 28.0, 0.0, 0.05999999865889549, 0.0, 0.009999999776482582, 0.5600000023841858, 0.20000000298023224, 0.25999999046325684, 0.3199999928474426, 0.0, 7.199999809265137, 0.0, 1.0, 0.0, 0.0,186
KUP PATATES KIZARTMASI,ITU,0.27000001072883606, 6.21999979019165, 3.5299999713897705, 2.3299999237060547, 203.64999389648438, 312.6400146484375, 33.939998626708984, 24.399999618530273, 41.40999984741211, 0.20000000298023224, 771.6699829101562, 2.559999942779541, 459.9800109863281, 1.559999942779541, 1.190000057220459, 2.9600000381469727, 0.49000000953674316, 6.059999942779541, 2.4800000190734863, 0.7099999785423279, 1.5, 36.880001068115234, 18.049999237060547, 0.019999999552965164, 3.630000114440918, 0.0, 0.0,187
MACAR GULASž,ITU,0.15000000596046448, 0.7400000095367432, 1.9199999570846558, 2.5999999046325684, 385.3500061035156, 79.72000122070312, 22.559999465942383, 16.3700008392334, 23.010000228881836, 0.05000000074505806, 173.1300048828125, 26.489999771118164, 357.989990234375, 0.0, 2.130000114440918, 0.36000001430511475, 0.18000000715255737, 0.6000000238418579, 1.6200000047683716, 0.15000000596046448, 0.17000000178813934, 9.5600004196167, 0.17000000178813934, 0.0, 3.2300000190734863, 0.0, 0.0,188
MAHLUTA CORBASI,ITU,0.15000000596046448, 0.6700000166893005, 1.0299999713897705, 3.2100000381469727, 153.88999938964844, 79.80000305175781, 23.260000228881836, 18.280000686645508, 25.829999923706055, 0.3799999952316284, 152.72000122070312, 5.960000038146973, 472.07000732421875, 0.03999999910593033, 0.12999999523162842, 7.71999979019165, 1.340000033378601, 1.25, 10.760000228881836, 0.07000000029802322, 1.0299999713897705, 19.06999969482422, 6.889999866485596, 0.0, 2.6600000858306885, 0.0, 0.0,189
MAKARNA SALATASI,ITU,0.0, 0.0, 0.009999999776482582, 0.0, 182.9199981689453, 0.1599999964237213, 0.47999998927116394, 29.479999542236328, 2.7100000381469727, 0.0, 0.6299999952316284, 5.139999866485596, 349.6700134277344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.950000047683716, 0.0, 0.0,190
MAKARNA-KUSKUS,ITU,0.0, 0.0, 0.44999998807907104, 2.549999952316284, 53.34000015258789, 0.0, 24.0, 0.0, 0.0, 0.0, 0.0, 0.009999999776482582, 1.5, 229.1999969482422, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0,191
MALTA ERIÄžI,ITU,0.019999999552965164, 0.18000000715255737, 0.5400000214576721, 3.059999942779541, 70.5, 30.600000381469727, 75.5999984741211, 18.149999618530273, 19.799999237060547, 0.0, 288.0, 0.6000000238418579, 3.5999999046325684, 0.0, 0.12999999523162842, 0.0, 0.03999999910593033, 0.36000001430511475, 0.36000001430511475, 0.12999999523162842, 0.0, 37.79999923706055, 54.0, 0.0, 0.0, 0.0, 0.0,192
MANDALINA,ITU,10.890000343322754, 0.12999999523162842, 0.3400000035762787, 0.46000000834465027, 63.0, 23.190000534057617, 18.489999771118164, 14.399999618530273, 8.300000190734863, 0.05000000074505806, 68.48999786376953, 1.6200000047683716, 642.7999877929688, 12.050000190734863, 2.109999895095825, 0.029999999329447746, 14.449999809265137, 2.130000114440918, 468.239990234375, 0.03999999910593033, 19.43000030517578, 132.52000427246094, 36.33000183105469, 0.25999999046325684, 18.239999771118164, 0.0, 0.0,193
MANTAR SOSLU PILIC IZGARA,ITU,0.3499999940395355, 2.5, 1.3600000143051147, 0.6100000143051147, 589.1699829101562, 288.5400085449219, 15.869999885559082, 4.699999809265137, 38.41999816894531, 0.05000000074505806, 518.0700073242188, 32.68000030517578, 427.42999267578125, 0.0, 0.1599999964237213, 3.5199999809265137, 0.550000011920929, 11.850000381469727, 4.139999866485596, 0.699999988079071, 5.480000019073486, 32.849998474121094, 6.409999847412109, 0.0, 5.039999961853027, 0.0, 0.0,194
MANTARLI   HINDI KAVURMA,ITU,0.3100000023841858, 5.650000095367432, 3.059999942779541, 0.7599999904632568, 268.6600036621094, 276.3699951171875, 17.309999465942383, 0.75, 30.889999389648438, 0.10999999940395355, 504.1700134277344, 31.260000228881836, 430.07000732421875, 1.2999999523162842, 1.0700000524520874, 3.119999885559082, 0.6200000047683716, 5.809999942779541, 3.6700000762939453, 0.4000000059604645, 2.940000057220459, 22.1200008392334, 6.050000190734863, 0.009999999776482582, 4.369999885559082, 0.0, 0.0,195
MANTARLI ET SOTE,ITU,0.36000001430511475, 2.5399999618530273, 1.4900000095367432, 0.8999999761581421, 346.9800109863281, 296.3800048828125, 24.010000228881836, 3.7799999713897705, 40.02000045776367, 0.07999999821186066, 542.3699951171875, 23.600000381469727, 447.9800109863281, 1.559999942779541, 1.7200000286102295, 3.5199999809265137, 0.550000011920929, 12.010000228881836, 4.170000076293945, 0.7200000286102295, 5.599999904632568, 34.4900016784668, 6.889999866485596, 0.019999999552965164, 5.139999866485596, 0.0, 0.0,196
MANTARLI HINDI SOTE,ITU,0.20999999344348907, 0.7200000286102295, 0.7900000214576721, 2.4800000190734863, 291.1700134277344, 89.16000366210938, 12.329999923706055, 5.150000095367432, 27.459999084472656, 0.41999998688697815, 136.1300048828125, 31.860000610351562, 355.1199951171875, 0.0, 0.09000000357627869, 0.0, 0.05000000074505806, 1.6299999952316284, 0.3400000035762787, 0.05999999865889549, 1.649999976158142, 14.75, 0.10000000149011612, 0.0, 2.9700000286102295, 0.0, 0.0,197
MANTARLI MAKARNA,ITU,8.569999694824219, 0.11999999731779099, 0.25999999046325684, 0.6100000143051147, 222.94000244140625, 22.540000915527344, 4.900000095367432, 34.150001525878906, 7.619999885559082, 0.029999999329447746, 99.05000305175781, 5.590000152587891, 575.8300170898438, 0.0, 0.44999998807907104, 0.7200000286102295, 11.529999732971191, 2.049999952316284, 367.0199890136719, 0.05999999865889549, 16.68000030517578, 109.8499984741211, 34.40999984741211, 0.20000000298023224, 13.4399995803833, 0.0, 0.0,198
